词语,全拼音,同形,词类,JLH
北部,bei3bu4,,f,   3
北方,bei3fang1,,f,   4
北国,bei3guo2,,s,   2
北航,bei3hang2,,j,   2
北京,bei3jing1,,n, 109
北美洲,bei3mei3zhou1,,n, 110
北面,bei3mian4,,f,   5
贝壳,bei4ke2,,n, 111
备不住,bei4bu5zhu4,,d,  13
备课,bei4ke4,,v,  70
备忘录,bei4wang4lu4,,n, 112
备战,bei4zhan4,,v,  71
备注,bei4zhu4,,n, 113
背包,bei4bao1,,n, 114
背后,bei4hou4,,f,   6
背景,bei4jing3,,n, 115
背面,bei4mian4,,f,   7
背叛,bei4pan4,,v,  73
背诵,bei4song4,,v,  74
背心,bei4xin1,,n, 116
背影,bei4ying3,,n, 117
倍加,bei4jia1,,d,  14
被,bei4,,p,   4
被动,bei4dong4,,a,  58
被告,bei4gao4,,n, 118
被迫,bei4po4,,d,  15
被套,bei4tao4,,n, 119
被子,bei4zi5,,n, 120
惫,bei4,,x,   2
蓓蕾,bei4lei3,,n, 121
奔赴,ben1fu4,,v,  75
奔跑,ben1pao3,,v,  76
奔走,ben1zou3,,v,  77
本,ben3,,d,  16
本,ben3,,q,   8
本,ben3,,r,   3
本报,ben3bao4,,r,   4
本当,ben3dang1,,d,  17
本地,ben3di4,,r,   5
本国,ben3guo2,,r,   6
本家,ben3jia1,,n, 122
本金,ben3jin1,,n, 123
本刊,ben3kan1,,r,   7
本科,ben3ke1,,n, 124
本来,ben3lai2,,d,  18
本末,ben3mo4,,n, 125
本人,ben3ren2,,r,   8
本身,ben3shen1,,r,   9
本世纪,ben3shi4ji4,,t,   6
本事,ben3shi5,,n, 126
本着,ben3zhe5,,p,   5
本质,ben3zhi4,,n, 127
本子,ben3zi5,,n, 128
笨,ben4,,a,  59
笨重,ben4zhong4,,a,  60
笨拙,ben4zhuo1,,a,  61
绷带,beng1dai4,,n, 129
迸发,beng4fa1,,v,  78
蹦,beng4,,v,  79
逼迫,bi1po4,,v,  80
逼真,bi1zhen1,,a,  62
鼻梁,bi2liang2,,n, 130
鼻子,bi2zi5,,n, 131
匕首,bi3shou3,,n, 132
比,bi3,,p,   6
比较,bi3jiao4,,d,  19
比较,bi3jiao4,,v,  81
比例,bi3li4,,n, 133
比赛,bi3sai4,,n, 134
比赛,bi3sai4,,v,  82
比试,bi3shi5,1,v,  83
比试,bi3shi5,2,v,  84
比喻,bi3yu4,,n, 135
比喻,bi3yu4,,v,  85
比重,bi3zhong4,,n, 136
彼,bi3,,r,  10
彼此,bi3ci3,,r,  11
笔,bi3,,n, 137
笔,bi3,,q,   9
笔法,bi3fa3,,n, 138
笔画,bi3hua4,,n, 139
笔记,bi3ji4,,n, 140
笔记本,bi3ji4ben3,,n, 141
笔录,bi3lu4,,v,  86
笔名,bi3ming2,,n, 142
笔试,bi3shi4,,n, 143
笔误,bi3wu4,,n, 144
笔者,bi3zhe3,,n, 145
笔直,bi3zhi2,,z,  11
币制,bi4zhi4,,n, 146
必,bi4,,d,  20
必定,bi4ding4,,d,  21
必将,bi4jiang1,,d,  22
必然,bi4ran2,,d,  23
必须,bi4xu1,,d,  24
必要性,bi4yao4xing4,,n, 147
毕竟,bi4jing4,,d,  25
闭关自守,bi4guan1zi4shou3,,i,  14
闭门羹,bi4men2geng1,,n, 148
闭塞,bi4se4,,a,  63
蓖麻,bi4ma2,,n, 149
弊病,bi4bing4,,n, 150
碧绿,bi4lv4,,z,  12
碧油油,bi4you1you1,,z,  13
蔽塞,bi4se4,,a,  64
壁灯,bi4deng1,,n, 151
壁画,bi4hua4,,n, 152
壁纸,bi4zhi3,,n, 153
避风港,bi4feng1gang3,,n, 154
避开,bi4kai1,,v,  87
避免,bi4mian3,,v,  88
避重就轻,bi4zhong4jiu4qing1,,i,  15
边,bian1,,f,   8
边界,bian1jie4,,n, 155
边缘,bian1yuan2,,n, 156
边远,bian1yuan3,,b,   2
编,bian1,,v,  89
编辑,bian1ji2,,n, 157
编辑,bian1ji2,,v,  90
编外,bian1wai4,,b,   3
编写,bian1xie3,,v,  91
编译程序,bian1yi4cheng2xu4,,l,   4
编者案,bian1zhe3an4,,n, 158
编织,bian1zhi1,,v,  92
编制,bian1zhi4,,n, 159
蝙蝠,bian1fu2,,n, 160
鞭炮,bian1pao4,,n, 161
贬低,bian3di1,,v,  93
贬值,bian3zhi2,,v,  94
扁豆,bian3dou4,1,n, 162
扁豆,bian3dou4,2,n, 163
便,bian4,,d,  26
便饭,bian4fan4,,n, 164
便笺,bian4jian1,,n, 165
便利,bian4li4,,a,  65
便民,bian4min2,,b,   4
便条,bian4tiao2,,n, 166
便携式,bian4xie2shi4,,b,   5
变,bian4,1,v,  95
变,bian4,2,v,  96
变革,bian4ge2,,v,  97
变化,bian4hua4,,v,  98
变量,bian4liang4,,n, 168
变形,bian4xing2,,v,  99
变压器,bian4ya1qi4,,n, 169
遍,bian4,,q,  10
遍体鳞伤,bian4ti3lin2shang1,,i,  16
辨别,bian4bie2,,v, 100
辨认,bian4ren4,,v, 101
辩护人,bian4hu4ren2,,n, 170
辩论,bian4lun4,,v, 102
辩证法,bian4zheng4fa3,,n, 171
标,biao1,,v, 103
标本,biao1ben3,,n, 172
标兵,biao1bing1,,n, 173
标点,biao1dian3,,n, 174
标记,biao1ji4,,n, 175
标签,biao1qian1,,n, 176
标题,biao1ti2,,n, 177
标语,biao1yu3,,n, 178
标志,biao1zhi4,,v, 104
标致,biao1zhi4,,a,  67
标准,biao1zhun3,,n, 179
表,biao3,1,n, 180
表,biao3,2,n, 181
表达,biao3da2,,v, 105
表格,biao3ge2,,n, 182
表面,biao3mian4,,n, 183
表明,biao3ming2,,v, 106
表现,biao3xian4,,n, 184
表现,biao3xian4,,v, 107
表扬,biao3yang2,,v, 108
憋,bie1,,v, 109
憋闷,bie1men5,,a,  68
憋气,bie1qi4,,a,  69
别,bie2,,d,  27
别,bie2,,v, 110
别的,bie2de5,,r,  12
别人,bie2ren2,,r,  13
别墅,bie2shu4,,n, 185
别有洞天,bie2you3dong4tian1,,i,  17
别致,bie2zhi5,,a,  71
别字,bie2zi4,,n, 186
蹩脚,bie2jiao3,,a,  72
别别扭扭,bie4bie5niu1niu1,,z,  14
别扭,bie4niu5,,a,  70
宾馆,bin1guan3,,n, 187
宾客,bin1ke4,,n, 188
彬彬有礼,bin1bin1you3li3,,i,  18
濒临,bin1lin2,,v, 111
槟榔,bing1lang2,1,n, 189
槟榔,bing1lang2,2,n, 190
冰,bing1,,n, 191
冰雕,bing1diao1,,n, 192
冰棍,bing1gun4,,n, 193
冰凉,bing1liang2,,z,  15
冰淇淋,bing1qi2lin2,,n, 194
冰球,bing1qiu2,,n, 195
冰霜,bing1shuang1,,n, 196
冰箱,bing1xiang1,,n, 197
冰雪,bing1xue3,,n, 198
兵,bing1,,n, 199
兵力,bing1li4,,n, 200
兵权,bing1quan2,,n, 201
兵种,bing1zhong3,,n, 202
秉公,bing3gong1,,d,  28
饼干,bing3gan1,,n, 203
禀性,bing3xing4,,n, 204
并,bing4,,c,   1
并,bing4,,d,  29
并驾齐驱,bing4jia4qi2qu1,,i,  19
并肩,bing4jian1,,d,  30
并联,bing4lian2,,v, 112
并排,bing4pai2,,d,  31
并且,bing4qie3,,c,   2
并吞,bing4tun1,,v, 113
病,bing4,,v, 114
病毒,bing4du2,,n, 205
病房,bing4fang2,,n, 206
病历,bing4li4,,n, 207
病人,bing4ren2,,n, 208
病歪歪,bing4wai1wai1,,z,  16
病休,bing4xiu1,,v, 115
病因,bing4yin1,,n, 209
病症,bing4zheng4,,n, 210
拨,bo1,1,v, 116
拨,bo1,2,v, 117
波澜壮阔,bo1lan2zhuang4kuo4,,i,  20
波浪,bo1lang4,,n, 211
波涛,bo1tao1,,n, 212
玻璃,bo1li5,,n, 213
剥夺,bo1duo2,,v, 119
剥落,bo1luo4,,v, 120
剥削,bo1xue1,,v, 121
菠菜,bo1cai4,,n, 215
菠萝,bo1luo2,1,n, 216
菠萝,bo1luo2,2,n, 217
播放,bo1fang4,,v, 122
播音,bo1yin1,,v, 123
播种,bo1zhong3,A,v, 124
播种,bo1zhong4,B,v, 125
脖子,bo2zi5,,n, 214
伯乐,bo2le4,,n, 218
博得,bo2de2,,v, 126
博古通今,bo2gu3tong1jin1,,i,  21
博士,bo2shi4,,n, 219
博物馆,bo2wu4guan3,,n, 220
搏斗,bo2dou4,,v, 127
薄情,bo2qing2,,a,  35
薄弱,bo2ruo4,,a,  36
簸箕,bo4ji5,,n, 223
补,bu3,1,v, 128
补,bu3,2,v, 129
补,bu3,3,v, 130
补偿,bu3chang2,,v, 131
补充,bu3chong1,,v, 132
补发,bu3fa1,,v, 133
补给,bu3ji3,,v, 134
补品,bu3pin3,,n, 224
补贴,bu3tie1,,n, 225
补贴,bu3tie1,,v, 135
哺乳动物,bu3ru3dong4wu4,,l,   5
哺育,bu3yu4,,v, 136
捕捉,bu3zhuo1,,v, 137
不,bu4,,d,  32
不安,bu4an1,,a,  73
不便,bu4bian4,,a,  74
不曾,bu4ceng2,,d,  47
不成,bu4cheng2,,y,   7
不耻下问,bu4chi3xia4wen4,,i,  22
不辞劳苦,bu4ci2lao2ku3,,i,  23
不错,bu4cuo4,,a,  75
不单,bu4dan1,,c,   3
不但,bu4dan4,,c,   4
不等式,bu4deng3shi4,,n, 226
不定,bu4ding4,,d,  33
不断,bu4duan4,,d,  34
不妨,bu4fang1,,d,  35
不公,bu4gong1,,a,  76
不管,bu4guan3,,c,   5
不光,bu4guang1,,c,   6
不过,bu4guo4,,c,   7
不过,bu4guo4,,d,  36
不和,bu4he2,,a,  77
不欢而散,bu4huan1er2san4,,i,  24
不见得,bu4jian4de2,,d,  37
不禁,bu4jin1,,d,  38
不仅,bu4jin3,,c,   8
不久,bu4jiu3,,m,  11
不拘一格,bu4ju1yi1ge2,,i,  25
不堪一击,bu4kan1yi1ji1,,i,  26
不可磨灭,bu4ke3mo2mie4,,i,  27
不愧,bu4kui4,,d,  39
不赖,bu4lai4,,a,  78
不劳而获,bu4lao2er2huo4,,i,  28
不冷不热,bu4leng3bu4re4,,l,   6
不力,bu4li4,,a,  79
不论,bu4lun4,,c,   9
不满,bu4man3,,a,  80
不毛之地,bu4mao2zhi1di4,,i,  29
不谋而合,bu4mou2er2he2,,i,  30
不巧,bu4qiao3,,d,  40
不屈不挠,bu4qu1bu4nao2,,i,  31
不如,bu4ru2,,c,  10
不少,bu4shao3,,m,  12
不慎,bu4shen4,,d,  41
不胜,bu4sheng4,,d,  42
不时,bu4shi2,,d,  43
不说,bu4shuo1,,c,  11
不妥,bu4tuo3,,a,  81
不畏强暴,bu4wei4qiang2bao4,,i,  32
不幸,bu4xing4,,a,  82
不义之财,bu4yi4zhi1cai2,,i,  33
不意,bu4yi4,,d,  44
不由得,bu4you2de5,,d,  45
不再,bu4zai4,,d,  46
不只,bu4zhi3,,c,  12
不周,bu4zhou1,,a,  83
不住,bu4zhu4,,d,  48
不着边际,bu4zhuo2bian1ji4,,i,  34
不自量力,bu4zi4liang4li4,,i,  35
布告,bu4gao4,,n, 227
布局,bu4ju2,,n, 228
布料,bu4liao4,,n, 229
布置,bu4zhi4,,v, 138
步,bu4,,q,  11
步兵,bu4bing1,,n, 230
步步为营,bu4bu4wei2ying2,,i,  36
步调,bu4diao4,,n, 231
步枪,bu4qiang1,,n, 232
步骤,bu4zhou4,,n, 233
部,bu4,,n, 234
部,bu4,,q,  12
部队,bu4dui4,,n, 235
部门,bu4men2,,n, 236
部署,bu4shu3,,v, 139
擦,ca1,,v, 140
猜,cai1,,v, 141
猜想,cai1xiang3,,v, 142
才,cai2,,d,  49
才华,cai2hua2,,n, 237
才子,cai2zi3,,n, 238
材,cai2,,g,   3
财产,cai2chan3,,n, 239
财富,cai2fu4,,n, 240
财物,cai2wu4,,n, 241
财源,cai2yuan2,,n, 242
财政,cai2zheng4,,n, 243
裁,cai2,,v, 143
裁缝,cai2feng5,,n, 244
裁决,cai2jue2,,v, 144
裁军,cai2jun1,,v, 145
裁判,cai2pan4,,n, 245
采访,cai3fang3,,v, 146
采购,cai3gou4,,v, 147
采纳,cai3na4,,v, 148
采用,cai3yong4,,v, 149
彩虹,cai3hong2,,n, 246
彩旗,cai3qi2,,n, 247
彩色,cai3se4,,b,   6
踩,cai3,,v, 150
菜,cai4,,n, 248
菜地,cai4di4,,n, 249
菜花,cai4hua1,,n, 250
菜农,cai4nong2,,n, 251
菜谱,cai4pu3,,n, 252
菜肴,cai4yao2,,n, 253
参拜,can1bai4,,v, 151
参观,can1guan1,,v, 152
参加,can1jia1,,v, 153
参考,can1kao3,,v, 154
参数,can1shu4,,n, 254
参与,can1yu4,,v, 155
参照物,can1zhao4wu4,,n, 255
餐具,can1ju4,,n, 256
残暴,can2bao4,,a,  84
残兵败将,can2bing1bai4jiang4,,i,  37
残敌,can2di2,,n, 257
残迹,can2ji1,,n, 258
残酷,can2ku4,,a,  85
残品,can2pin3,,n, 259
残忍,can2ren3,,a,  86
残杀,can2sha1,,v, 156
残渣,can2zha1,,n, 260
蚕,can2,,n, 261
蚕豆,can2dou4,1,n, 262
蚕豆,can2dou4,2,n, 263
惭愧,can2kui4,,a,  87
惨,can3,,a,  88
惨重,can3zhong4,,a,  89
灿烂,can4lan4,,a,  90
仓促,cang1cu4,,a,  91
仓库,cang1ku4,,n, 264
苍白,cang1bai2,,a,  92
苍老,cang1lao3,,a,  93
苍凉,cang1liang2,,a,  94
苍天,cang1tian1,,n, 265
苍蝇,cang1ying5,,n, 266
藏龙卧虎,cang2long2wo4hu3,,i,  38
操持,cao1chi2,,v, 157
操练,cao1lian4,,v, 158
操行,cao1xing2,,n, 268
操纵,cao1zong4,,v, 159
嘈杂,cao2za2,,a,  95
草,cao3,,n, 269
草草,cao3cao3,,d,  50
草稿,cao3gao3,,n, 270
草料,cao3liao4,,n, 271
草绿,cao3lv4,,b,   7
草帽,cao3mao4,,n, 272
草坪,cao3ping2,,n, 273
草率,cao3shuai4,,a,  96
草图,cao3tu2,,n, 274
草屋,cao3wu1,,n, 275
草药,cao3yao4,,n, 276
草原,cao3yuan2,,n, 277
册,ce4,,q,  13
侧面,ce4mian4,,f,   9
侧重,ce4zhong4,,v, 160
厕所,ce4suo3,,n, 278
测量,ce4liang2,,v, 161
测验,ce4yan4,,v, 162
策略,ce4lve4,,n, 279
层,ceng2,,q,  14
层次,ceng2ci4,,n, 280
曾,ceng2,,d, 646
曾经,ceng2jing1,,d, 647
插翅难飞,cha1chi4nan2fei1,,i,  39
插曲,cha1qu3,,n, 281
插手,cha1shou3,,v, 163
插图,cha1tu2,,n, 282
插座,cha1zuo4,,n, 283
差别,cha1bie2,,n, 294
差距,cha1ju4,,n, 295
查,cha2,,v, 164
查抄,cha2chao1,,v, 165
查对,cha2dui4,,v, 166
查号台,cha2hao4tai2,,n, 284
查获,cha2huo4,,v, 167
查看,cha2kan4,,v, 168
查问,cha2wen4,,v, 169
查询,cha2xun2,,v, 170
查阅,cha2yue4,,v, 171
茶杯,cha2bei1,,n, 285
茶缸,cha2gang1,,n, 286
茶壶,cha2hu2,,n, 287
茶碱,cha2jian3,,n, 288
茶具,cha2ju4,,n, 289
茶农,cha2nong2,,n, 290
茶色,cha2se4,,n, 291
茶叶,cha2ye4,,n, 292
岔道,cha4dao4,,n, 293
诧异,cha4yi4,,a,  97
差,cha4,,a,  98
差点儿,cha4dianr3,,d,  52
差劲,cha4jin4,,a,  99
刹时,cha4shi2,,d,  51
差事,chai1shi5,,n, 296
拆,chai1,,v, 172
拆除,chai1chu2,,v, 173
拆散,chai1san4,,v, 174
拆卸,chai1xie4,,v, 175
柴草,chai2cao3,,n, 297
柴油,chai2you2,,n, 298
豺狼,chai2lang2,,n, 299
豺狼虎豹,chai2lang2hu3bao4,,l,   7
搀假,chan1jia3,,v, 176
馋,chan2,,a, 100
缠绵,chan2mian2,,a, 101
缠手,chan2shou3,,a, 102
产妇,chan3fu4,,n, 300
产品,chan3pin3,,n, 301
产褥期,chan3ru4qi1,,t,   7
产生,chan3sheng1,,v, 177
产业,chan3ye4,,n, 302
产值,chan3zhi2,,n, 303
铲,chan3,,v, 178
铲除,chan3chu2,,v, 179
铲子,chan3zi5,,n, 304
阐述,chan3shu4,,v, 180
颤动,chan4dong4,,v, 181
颤巍巍,chan4wei1wei1,,z,  17
颤悠悠,chan4you1you1,,z,  18
昌盛,chang1sheng4,,a, 103
娼妓,chang1ji4,,n, 305
猖獗,chang1jue2,,a, 104
猖狂,chang1kuang2,,a, 105
长,chang2,,a, 106
长城,chang2cheng2,,n, 306
长处,chang2chu5,,n, 307
长此以往,chang2ci3yi3wang3,,i,  40
长度,chang2du4,,n, 308
长短,chang2duan3,,n, 309
