词语,全拼音,同形,主前后,副名,副数量,重复,连接,重叠,兼类,备注
凡是,fan2shi4,,前,可,,,,,,"~游客,都想买点纪念品"
反,fan3,,,,,,连,,vb,"常与""不但"",""不仅""配合着用/不仅没解决问题~使问题更复杂"
反倒,fan3dao4,,,,,,连,,,"老杨住得最远,~来得最早/不但无益~有害"
反而,fan3er2,,,,,,连,,,"风不但没停,~更大了/常与""不但""""不仅""配合用"
反复,fan3fu4,,,,,,,AABB,v,他~思考
反过来,fan3guo4lai2,,前,,,,,,,"~你处在我的位置上,你也不会介入"
反正,fan3zheng4,,前,,可,,,,,~我不相信/~一个人
泛泛,fan4fan4,,,,,,,,,~地介绍了一下情况
仿佛,fang3fu2,,前,,,,,,v,"好像;似乎:常与""似的""、""一样""配合着用/~大地睡着了似的"
飞速,fei1su4,,,,,,,,,~进步
非,fei1,,,,,,连,,h,"要学好一种语言,~下苦功夫不行/~老张来,才能修好这台机器"
非常,fei1chang2,,,,,,,ABAB,b,~重要/~感谢/~时期(b)
分别,fen1bie2,,,,,,,,v,~处理/~举行庆祝活动/~走了
分批,fen1pi1,,,,,,,,,~进入参观
分期,fen1qi1,,,,,,,,,~付款
分头,fen1tou2,,,,,,,,,~办理/~出发
分外,fen4wai4,,,,,,,,b,格外;特别:今天月光~明亮/~高兴/~的事(b)
纷纷,fen1fen1,,,,,,,,z,大家~要求参军/人们~涌向街头/大雪~(z)
奋力,fen4li4,,,,,,,,,~拼搏
奋勇,fen4yong3,,,,,,,,,~杀敌
改日,gai3ri4,,前,,,,,,,~谈/~我们一道去
改天,gai3tian1,,前,,,,,,,~再说/~我们再商量
概,gai4,,,,,,,,,~不退货
赶紧,gan3jin3,,,,,,,,,抓紧时间;尽快:你~做功课
赶快,gan3kuai4,,,,,,,,,"你~走,否则迟到了"
赶忙,gan3mang2,,,,,,,,,赶快;赶紧:他~让座
赶巧,gan3qiao3,,前,,,,,,,"~,他出门了"
敢情,gan3qing5,,前,,,,,,,"这~好!/~,我们都不知道"
刚,gang1,,,,可,,,DD,,正好;才;仅仅:~一躺下就睡着了/加上他~5个人
刚刚,gang1gang1,,,,可,,,,,小李~还在/~两岁
刚好,gang1hao3,,前,,可,,,,,恰好;正好:~两个小时/~他出去了
刚巧,gang1qiao3,,前,,可,,,,,凑巧;恰巧:~我也明天走
高度,gao1du4,,,,,,,,n,~重视/~评价/飞行~(n)
高声,gao1sheng1,,,,,,,,,~说话
高速,gao1su4,,,,,,,,b,~发展/~公路(b)
格外,ge2wai4,,,,,,,,,更加:他今天~高兴
根本,gen1ben3,,,,,,,,na,"全部,彻底;从来,完全:问题已经~解决/最~的问题(a)"
更,geng4,,,,,,,,,"越发,愈加;再:他~爱本职工作了/你的字能否写得~好些"
更加,geng4jia1,,,,,,,,,"图书馆的书,应该~爱护"
更为,geng4wei2,,,,,,,,,他比以前~认真
公然,gong1ran2,,,,,,,,,~宣战/~撕毁协议
共,gong4,,,,可,,,,,一共:全书~收10篇小说/到会者~12个人
共同,gong4tong2,,,,,,,,b,~使用/我们~努力
共总,gong4zong3,,,,可,,,,,一共;合计:本月收入~有多少?/这几笔账~多少?
姑且,gu1qie3,,,,,,,,,"先;不妨:这个问题~不谈,别的问题今天解决"
固然,gu4ran2,,,,,,连,,,"这~好,但很费钱"
故意,gu4yi4,,,,,,,,b,他~捣乱/他不是~的(b)
乖乖,guai1guai1,,,,,,,,ne,"~走了/~坐着/~,这里真热(e)"
怪,guai4,,,,,,,,av,~不好意思的/这件事不~他(v)
怪不得,guai4bu5de5,,前,,,,,,,~他这么高兴
光,guang1,,,可,可,,,,anv,"只,单,仅仅:~他一人就收入1万多块/~一个月,就加工了8吨粮食"
果然,guo3ran2,,前,,可,,,,,"真的,确实,果真:~你们很听话/你~3天完成任务"
果真,guo3zhen1,,前,,可,,,,,果然:~拿到冠军了
过,guo4,,,,,,,,hv,太:工作~多/要求~高
过多,guo4duo1,,,,,,,,,~地干涉孩子
过于,guo4yu2,,,,,,,,,对别人的要求~高/你~乐观了
悍然,han4ran2,,,,,,,,,~发动战争
好,hao3,,,,可,,,DD,av,他~半天没回家了/地整平了~种庄稼(v)
好歹,hao3dai3,,前,,,,,,n,"将就,凑合:~你吃一点吧;不管怎样,无论如何:这事,~要有个结果"
好好,hao3hao1,,,,,,,,,大家再~想一想
好容易,hao3rong2yi4,,前,,,,,,,很不容易:~你能来一次
好生,hao3sheng1,,,,,,,,,"多么,很,十分:这人~面熟;好好儿:你~休养,病一定会好"
好在,hao3zai4,,前,,可,,,,,"~他是东北人,一点儿不怕冷/~三五天,凑合着过吧"
何必,he2bi4,,前,可,可,,,,,"单说时要带""呢""/~他来呢?我自己可以做/~明天呀?/~两个人呢?"
何尝,he2chang2,,,,,,,,,"哪里,怎么,怎么会:我~不想家呢/这又~不好呢"
何等,he2deng3,,,,,,,,,多么:这小孩~聪明
何妨,he2fang1,,,,,,,,,"没有把握,~不先试试"
何苦,he2ku3,,前,,,,,,,"单说时必带""呢""或""啊""/~(你)一个人在这儿生气呢?"
何以,he2yi3,,,,,,,,,"用什么:~教他;为什么:已经说好,~变卦"
很,hen3,,,,,,,,,~好/~了解他
很快,hen3kuai4,,前,,,,,,,~二月份又完了/~两年过去了
狠狠,hen3hen3,,,,,,,,,~地打/~抓落实
狠命,hen3ming4,,,,,,,,,~追赶
恨不得,hen4bu5de5,,,,,,,,,~打他一顿
忽,hu1,,,,,可,,,,声音~高~低
忽地,hu1di4,,,,,,,,,灯~灭了
忽而,hu1er2,,,,,可,,,,天气~冷~热
忽然,hu1ran2,,前,,,,,,,~天气变得热起来了/~机器出了故障
胡乱,hu2luan4,,,,,,,,,他~说
互,hu4,,,,,,,,,~谅~让
互相,hu4xiang1,,,,,,,,b,~支持/~帮助
还,hai2,,,可,可,,连,,,"仍然,依然:你~年轻/他~一个人呢;又,更,而且:比山~高,比海~深"
还是,hai2shi5,,前,,,,连,,c,"~他做向导/尽管路滑雪大,我们~按时到达了"
缓缓,huan3huan3,,,,,,,,,队伍~往前走
会心,hui4xin1,,,,,,,,b,~的微笑(b)
活活,huo2huo2,,,,,,,,,他~气死
火速,huo3su4,,,,,,,,,~完成
或许,huo4xu3,,前,,可,,,,,~他明天出发/~3周时间
或者,huo4zhe3,,前,,可,,,,c,"或许,也许:你赶快走,~还能搭上末班车"
霍地,huo4di4,,,,,,,,,~闪开
基本上,ji1ben3shang5,,前,,,,,,,身体~好了
及早,ji2zao3,,,,,,,,,你的病要~治疗
极,ji2,,,,,,,,,~少数人不安分守己
极度,ji2du4,,,,,,,,,他~疲劳
极端,ji2duan1,,,,,,,,n,工作~负责
极力,ji2li4,,,,,,,,,大家~反对
极其,ji2qi2,,,,,,,,,对身体~不利
极为,ji2wei2,,,,,,,,,这里交通~不便
即,ji2,,,,,,,,v,"用法同""就"",用于书面:稍加修改~可使用"
即将,ji2jiang1,,,,,,,,,他~回老家
即刻,ji2ke4,,,,,,,,,立刻:他~出发
即时,ji2shi2,,,,,,,,,~走了
即兴,ji2xing4,,,,,,,,b,~而作/~演示/~诗(b)
急剧,ji2ju4,,,,,,,,b,气温~下降
急忙,ji2mang2,,,,,,,AABB,,他~走了
几乎,ji1hu1,,,,可,,,,,~半年没见面了
既,ji4,,,,,,,,c,"~答应了,不能不去/~懂英语又懂法语(c)"
加倍,jia1bei4,,,,,,,,,~努力
间或,jian4huo4,,,,,,,,,"偶然,有时:大家在听讲,~有人站起来提问"
简直,jian3zhi2,,,,,,,,,这里闹得~呆不下去
健步,jian4bu4,,,,,,,,,~走上天安门
渐,jian4,,,,,,,DD,,"天气~热,又要准备夏天的衣服了"
渐次,jian4ci4,,,,,,,,,成绩~提高
渐渐,jian4jian4,,前,,,,,,,"~地,天黑下来了"
将,jiang1,,,,可,,,,p,就要:我们~提前走;一定会:祖国~繁荣富强;接近:来北大~20年了
将近,jiang1jin4,,前,,可,,,,,接近:~1千人参加/~成熟
将要,jiang1yao4,,,,,,,,,"快要,就要:学期~结束"
交互,jiao1hu4,,,,,,,,b,互相:~作用;替换着:两手~地往上爬/~批改作业
交替,jiao1ti4,,,,,,,,v,学习和休息应~进行
较,jiao4,,,,,,,,p,这个方法~好
较为,jiao4wei2,,,,,,,,,这样做~安全
皆,jie1,,,,,,,,,"都,都是:大家~好"
接连,jie1lian2,,,,,,,,,~发生几次
竭诚,jie2cheng2,,,,,,,,,~帮助
竭力,jie2li4,,,,,,,,,~帮忙
届时,jie4shi2,,前,,,,,,,到时候:~请你出席
借故,jie4gu4,,,,,,,,,他~走了
仅,jin3,,前,可,可,,,DD,,"~他一人,夺得了3枚金牌"
仅仅,jin3jin3,,前,可,可,,,,,"只:~一个星期,他就学会滑冰;单单:~小王一人,就进了5个球"
紧紧,jin3jin3,,,,,,,,,~跟着党走
谨,jin3,,,,,,,,,我~代表教员向你们致敬
尽,jin3,A,,,,,,,vp,尽量:~早答复
尽,jin4,B,,,,,,,v,"衣服上~是油渍/一眼望去,~是起伏的群山;只顾,只管:你~闹着玩"
尽管,jin3guan3,,,,,,,,c,"你有什么困难,~说;总是,老是:别人跟她说话,她~笑"
尽可能,jin4ke3neng2,,,,,,,,,你~来
尽快,jin3kuai4,,,,,,,,,希望~解决
尽力,jin4li4,,,,,,,,v,我们~帮助你
尽量,jin3liang4,,,,,,,,,你~吃吧/~去做
尽情,jin4qing2,,,,,,,,,孩子们~地玩
尽先,jin3xian1,,,,,,,,,尽可能提前:烈士子女~安排工作
进一步,jin4yi1bu4,,,,,,,,b,改革开放~加速我国建设步伐
近,jin4,,,,可,,,,av,~几年/~百万人参加
近来,jin4lai2,,前,,,,,,,~他很忙
经常,jing1chang2,,,,可,,,,b,房间应该~打扫/~三四天回来一次
径直,jing4zhi2,,,,,,,,,表示直接做某件事:我~飞往广州
径自,jing4zi4,,,,,,,,,表示自己直接行动:他~去学校了
净,jing4,,,可,,,,,a,"全,都:说的~是心里话;光,只:他~顾说话;总是,老是:这几天~刮大风"
竞相,jing4xiang1,,,,,,,,,春天百花~争艳/~逃命
竟,jing4,,,,,,,,,他~答应了
竟然,jing4ran2,,,,,,,,,居然:建设速度~快得惊人
迥然,jiong3ran2,,,,,,,,,两人的工作作风~不同
究竟,jiu1jing4,,前,,可,,,,,"修饰的数量词其数词限于""几""/~几个人去/~你去不去"
久久,jiu3jiu3,,,,,,,,,"许久,好久:心情~不能平静"
久已,jiu3yi3,,,,,,,,,早就:这事~忘却
就,jiu4,,,可,可,,连,,vpc,"只,只有:~班长没来;立刻:我~来;一定:没有共产党~没有新中国"
就便,jiu4bian4,,,,,,,,,他~回家一次
就此,jiu4ci3,,,,,,,,,他~告一段落
就地,jiu4di4,,,,,,,,,石头~取材
就近,jiu4jin4,,,,,,,,,~上学
就势,jiu4shi4,,,,,,,,,他~坐下
就手,jiu4shou3,,,,,,,,,你~买点菜回来
就要,jiu4yao4,,,,,,,,,"快要,将要:火车~进站了"
居然,ju1ran2,,前,,,,,,,"这么大的声音,~你没听见!"
决,jue2,,,,,,,,,"一定,完全:这一决定~无例外/他犯错误,~非偶然"
决计,jue2ji4,,,,,,,,,他~回家去了
决心,jue2xin1,,,,,,,,n,他~干到底
决意,jue2yi4,,,,,,,,,他~马上动身
绝,jue2,,,,,,,,,我们~不同意/~无此事/~非少数
均,jun1,,,,可,,,,,都:~包括在内/全体工作人员~好/这班孩子~10岁左右
可巧,ke3qiao3,,前,,,,,,,~他来了
刻意,ke4yi4,,,,,,,,,~打扮
恐怕,kong3pa4,,前,,可,,,,,"也许,说不定:~他要迟到了/~3天以后才能回校"
口头,kou3tou2,,,,,,,,n,~表示/~指示
快,kuai4,1,,,,,,DD,a,赶快:~来帮忙
快,kuai4,2,,可,可,,,,a,将要:我来了~两年了/~春节了
快步,kuai4bu4,,,,,,,,,~走
快快,kuai4kuai4,,,,,,,,,~长大
快速,kuai4su4,,,,,,,,,部队~行军
快要,kuai4yao4,,,可,可,,,,,就要:他~30岁了/~元旦了
牢牢,lao2lao2,,,,,,,,,~地抓住
老,lao3,,,,可,,,,ahk,"一直,经常:他~呆在家里/~一个人,真没意思"
老是,lao3shi4,,前,,可,,,,,~一个人/~他自己一个人在家
冷不防,leng3bu5fang2,,前,,,,,,,突然:~他被狗咬了一口/~摔了一跤
冷眼,leng3yan3,,,,,,,,,~观察
历来,li4lai2,,前,,,,,,,"从来,向来:~我们主张平等/这个人~忠诚老实"
厉声,li4sheng1,,,,,,,,,~批评/~斥责
立即,li4ji2,,,,,,,,,"马上,即刻:他~出发/合同~生效"
立刻,li4ke4,,,,,,,,,小陈~站起来
立时,li4shi2,,,,,,,,,小孙~回答
立体,li4ti3,,,,,,,,b,~交叉/~种养/~垦殖
连连,lian2lian2,,,,,,,,,老师~点头
连忙,lian2mang2,,,,,,,,,急忙:乘客~让座
连年,lian2nian2,,,,,,,,,~丰收
连日,lian2ri4,,,可,,,,,,他们~参加比赛/~大雨
连声,lian2sheng1,,,,,,,,,大家~叫好
连夜,lian2ye4,,,,,,,,,学校~开会布置工作
谅必,liang4bi4,,前,,,,,,,~他也不敢
临场,lin2chang3,,,,,,,,b,~发挥/~指导/~经验(b)
临床,lin2chuang2,,,,,,,,b,~实习
临时,lin2shi2,,,,,,,,b,~借用一下/~政府
另,ling4,,,,,,,,r,~派代表
另外,ling4wai4,,,,,,,,cr,大家~想了个办法/~的事情以后再说
另行,ling4xing2,,,,,,,,,~通知/~传达
陆续,lu4xu4,,,,,,,,,~上市/开会的人~来了
屡,lv3,,,,,,,DD,,指导员~建战功
屡次,lv3ci4,,,,,,,,,一次又一次:他~刷新记录
屡屡,lv3lv3,,,,,,,,,敌人~失败
略,lve4,,,,,,,DD,v,"简单,略微:我~知一二/~等片刻"
略微,lve4wei1,,,,,,,,,"稍微:我~知道一点/所修饰的a、v后要带""一点儿,一些""等"
轮番,lun2fan1,,,,,,,,,他们~去干
马上,ma3shang4,,前,,,,,,,~春天就到了/~集合出发
蛮,man2,,,,,,,,a,"很,挺:今年棉花~好;完全:大家~有把握"
满心,man3xin1,,,,,,,,,~喜欢
慢慢,man4man1,,,,,,,,,你~走
贸然,mao4ran2,,,,,,,,,"轻率地,不加思考地:不能~下结论"
没,mei2,,,,可,,,,v,我~去/衣服~干/鱼~两斤重
没有,mei2you3,,,,可,,,,v,"不曾:天还~亮,农民下地干活了"
每每,mei3mei3,,,,,,,,,"往往,常常:我~想起家乡过年的情景"
猛不防,meng3bu5fang2,,前,,,,,,,~别人从背后推了一下
猛地,meng3de5,,,,,,,,,"突然,忽然:河水~涨起来"
猛然,meng3ran2,,,,,,,,,"突然,忽然:~回头"
明明,ming2ming2,,前,,可,,,,,"确实,显然:~你昨天说过,怎么忘了/~3斤,怎么说5斤呢?"
莫,mo4,,,,,,,,,"别,不要:你~见怪"
莫不,mo4bu4,,,,,,,,,"无不,没有不:当地群众~欢欣鼓舞"
莫非,mo4fei1,,前,,,,,,,莫不是:~他理解错了
蓦地,mo4di4,,,,,,,,,突然:他~站起来了/他~大叫起来
蓦然,mo4ran2,,,,,,,,,"猛然:除夕,我~想起童年时代在家过新年的情景"
默默,mo4mo4,,,,,,,,,他~想了很久
难道,nan2dao4,,前,,,,,,,~你想抵赖不成/加强反问语气
难怪,nan2guai4,,前,,,,,,,"怪不得:~大家爱看这本杂志,内容确实很好"
偶,ou3,,,,,,,,,偶然:昨天在车站~遇一朋友
偶尔,ou3er3,,前,,,,,,,"有时候,间或:星期天一般在家干活,~也出去走走/~一次,不必追究了(口语)"
偏,pian1,,,,,,,DD,av,"故意,反而:叫他不要去,他~要去/座位太~了(a)/每次都~着他(v)"
偏偏,pian1pian1,,前,,,,,,,"故意,反而:正需要水,老天~不下雨;仅仅,只有:教室很安静,~他俩说个没完"
偏巧,pian1qiao3,,前,,,,,,,"恰巧:我想找他,~他出去了"
飘然,piao1ran2,,,,,,,,,浮云~而过
拼命,pin1ming4,,,,,,,,v,~地写/他~往山上跑
拼死,pin1si3,,,,,,,,,他~地干活也养活不了一家人
频频,pin2pin2,,,,,,,,,屡次:我军向敌人~出击
平素,ping2su4,,前,,,,,,,"平时,素来:~他不爱说话"
凭空,ping2kong1,,,,,,,,,不能~批评别人
颇,po1,,,,,,,,,"很,甚:他对化学~有研究"
齐声,qi2sheng1,,,,,,,,,大家~叫好
其实,qi2shi2,,前,,,,连,,,"实际上:听口音像北方人,~他是广州人/虽然已是冬天,~并不太冷"
岂,qi3,,,,,,,,,"哪里,怎么,难道:孩子落水,~能见死不救"
起初,qi3chu1,,前,,,,,,,"最初,起先:~大家说去香山玩,后来改去康西草原玩"
起码,qi3ma3,,前,,可,,,,b,"至少:这次出差~5天才能回来/别人听说没听说我不知道,~我没听说过"
起先,qi3xian1,,前,,,,,,,"最初,起初:~我不同意,后来我同意了"
恰,qia4,,,,,,,DD,,"正,正好:~到好处/~如其分"
恰好,qia4hao3,,前,,可,,,,,"正好,凑巧:行李不多不少,~20公斤/我正要去找小李,~小李来了"
恰恰,qia4qia4,,前,,可,,,,,"正好,正:现在~10点钟/~老师不在家"
恰巧,qia4qiao3,,前,,可,,,,,凑巧:今天~我遇到老师了
千万,qian1wan4,,,,,,,ABAB,m,"务必,一定:你们~注意防火/你们~~要小心"
潜心,qian2xin1,,,,,,,,,他~研究语言学
强行,qiang2xing2,,,,,,,,,他们~拿走老乡的东西
悄悄,qiao1qiao1,,,,,,,,,"轻轻,偷偷:他们~地起床了"
悄然,qiao3ran2,,,,,,,,,妈妈~落泪
悄声,qiao3sheng1,,,,,,,,,声音很轻:他~走进来
切切,qie4qie4,,,,,,,,,"千万,务必:你~不能忘记"
且,qie3,,,,,,,,c,"暂且:你~等一下;姑且:要知后事如何,~听下回分解"
亲笔,qin1bi3,,,,,,,,b,~画押/~信(b)
亲耳,qin1er3,,,,,,,,,我~听到
亲口,qin1kou3,,,,,,,,,他~说……/他~告诉我的
亲身,qin1shen1,,,,,,,,b,~经历了很多事/这些是我~感受到的
亲手,qin1shou3,,,,,,,,,我为你们~做菜
亲眼,qin1yan3,,,,,,,,,我~看着他来了
亲自,qin1zi4,,,,,,,,,领导~走一趟
轻轻,qing1qing1,,,,,,,,,你~地拍拍他
轻易,qing1yi4,,,,,,,,a,"随便,轻率:不要~下结论;简单容易:他很~地战胜了对手(a)"
权且,quan2qie3,,,,,,,,,"暂且,姑且:你~在这里住一夜"
全,quan2,,,,,,,,a,"都,完全:稻子~收完了"
全都,quan2dou1,,,,,,,,,几本参考书我~借来了
全力,quan2li4,,,,,,,,,我~支持你工作
全然,quan2ran2,,,,,,,,,"完全,都:他的话~没有错"
全速,quan2su4,,,,,,,,,汽车~前进
却,que4,,,,,,连,,,文章虽短~很有力
确,que4,,,,,,,,,"的确,实在:电影中的江姐~有这个人"
冉冉,ran3ran3,,,,,,,,,太阳~升起
任情,ren4qing2,,,,,,,,,孩子们~唱歌
任意,ren4yi4,,,,,,,,b,大家~畅谈
仍,reng2,,,,可,,,,,仍然:~向往常一样/旧报纸~3角钱1斤
仍旧,reng2jiu4,,,,可,,连,,,"仍然,还是:尽管很忙,他~参加锻炼"
